3953815  [Worker-39: Launching connected-heating] INFO : Create workflow configuration [de.uka.ipd.sdq.workflow.launchconfig.AbstractWorkflowBasedLaunchConfigurationDelegate]
3953823  [Worker-39: Launching connected-heating] INFO : Validating workflow configuration [de.uka.ipd.sdq.workflow.launchconfig.AbstractWorkflowBasedLaunchConfigurationDelegate]
3953823  [Worker-39: Launching connected-heating] INFO : Creating workflow engine [de.uka.ipd.sdq.workflow.launchconfig.AbstractWorkflowBasedLaunchConfigurationDelegate]
3953824  [Worker-39: Launching connected-heating] INFO : Executing workflow [de.uka.ipd.sdq.workflow.launchconfig.AbstractWorkflowBasedLaunchConfigurationDelegate]
3953824  [Worker-39: Launching connected-heating] INFO : Creating workflow engine and starting workflow [de.uka.ipd.sdq.workflow.Workflow]
3953824  [Worker-39: Launching connected-heating] DEBUG: Setting Blackboard of job org.palladiosimulator.experimentautomation.application.jobs.RunExperimentAutomationJob [de.uka.ipd.sdq.workflow.Workflow]
3953824  [Worker-39: Launching connected-heating] DEBUG: Palladio Workflow-Engine: Running job Sequential Job [de.uka.ipd.sdq.workflow.Workflow]
3953824  [Worker-39: Launching connected-heating] DEBUG: Palladio Workflow-Engine: Running job Prepare PCM Blackboard Partitions [de.uka.ipd.sdq.workflow.jobs.AbstractJob]
3953825  [Worker-39: Launching connected-heating] DEBUG: Palladio Workflow-Engine: Running job Sequential Job [de.uka.ipd.sdq.workflow.jobs.AbstractJob]
3953825  [Worker-39: Launching connected-heating] DEBUG: Palladio Workflow-Engine: Running job Perform AT PCM Model Load [de.uka.ipd.sdq.workflow.jobs.AbstractJob]
3953837  [Worker-39: Launching connected-heating] INFO : Loading models for partition org.palladiosimulator.pcmmodels.original.partition [org.palladiosimulator.experimentautomation.application.jobs.LoadModelsIntoBlackboardJob]
3953857  [Worker-39: Launching connected-heating] INFO : Loading models for partition org.palladiosimulator.pcmmodels.partition [org.palladiosimulator.experimentautomation.application.jobs.LoadModelsIntoBlackboardJob]
3953878  [Worker-39: Launching connected-heating] DEBUG: Palladio Workflow-Engine: Running job Perform Model Modification [de.uka.ipd.sdq.workflow.jobs.AbstractJob]
3953879  [Worker-39: Launching connected-heating] INFO : Task Perform Model Modification Execution completed in 2.224E-6 seconds [de.uka.ipd.sdq.workflow.ExecutionTimeLoggingProgressMonitor]
3953879  [Worker-39: Launching connected-heating] DEBUG: Palladio Workflow-Engine: Running job Sequential Job [de.uka.ipd.sdq.workflow.jobs.AbstractJob]
3953879  [Worker-39: Launching connected-heating] DEBUG: Palladio Workflow-Engine: Running job Prepare Template Blackboard Partitions [de.uka.ipd.sdq.workflow.jobs.AbstractJob]
3953879  [Worker-39: Launching connected-heating] INFO : Task Prepare Template Blackboard Partitions Execution completed in 5.47E-7 seconds [de.uka.ipd.sdq.workflow.ExecutionTimeLoggingProgressMonitor]
3953879  [Worker-39: Launching connected-heating] DEBUG: Creating Template Model Partition [org.palladiosimulator.architecturaltemplates.jobs.PrepareIsolatedBlackboardPartitionJob]
3953879  [Worker-39: Launching connected-heating] DEBUG: Initializing PCM EPackages [org.palladiosimulator.architecturaltemplates.jobs.PrepareIsolatedBlackboardPartitionJob]
3953879  [Worker-39: Launching connected-heating] DEBUG: Palladio Workflow-Engine: Running job Sequential Job [de.uka.ipd.sdq.workflow.jobs.AbstractJob]
3953879  [Worker-39: Launching connected-heating] INFO : Task Sequential Job Execution completed in 3.43E-7 seconds [de.uka.ipd.sdq.workflow.ExecutionTimeLoggingProgressMonitor]
3953879  [Worker-39: Launching connected-heating] INFO : Validating AT Constraints. [de.uka.ipd.sdq.workflow.jobs.AbstractJob]
3953992  [Worker-39: Launching connected-heating] INFO : Constraint: System has exactly one Replicable Assembly Context succeeded. [de.uka.ipd.sdq.workflow.jobs.AbstractJob]
3953992  [Worker-39: Launching connected-heating] INFO : Constraint: System is Dynamic Horizontal Scaling System succeeded. [de.uka.ipd.sdq.workflow.jobs.AbstractJob]
3953997  [Worker-39: Launching connected-heating] INFO : Constraint: Number of Replicas greater 0 succeeded. [de.uka.ipd.sdq.workflow.jobs.AbstractJob]
3953997  [Worker-39: Launching connected-heating] INFO : Constraint: Scale In Threshold greater 0 succeeded. [de.uka.ipd.sdq.workflow.jobs.AbstractJob]
3953998  [Worker-39: Launching connected-heating] INFO : Constraint: Scale Out Threshold greater 0 succeeded. [de.uka.ipd.sdq.workflow.jobs.AbstractJob]
3953998  [Worker-39: Launching connected-heating] INFO : Constraint: Assembly Context is Replicable Assembly Context succeeded. [de.uka.ipd.sdq.workflow.jobs.AbstractJob]
3953998  [Worker-39: Launching connected-heating] INFO : Constraint: Scale Out Threshold greater than Scale In Threshold succeeded. [de.uka.ipd.sdq.workflow.jobs.AbstractJob]
